ts,J_total,W_total
1764302175.9423082,0,0.0
1764302176.050831,0,0.0
1764302176.15094,0,0.0
1764302176.253479,0,0.0
1764302176.3598552,0,0.0
1764302176.466053,0,0.0
1764302176.573436,0,0.0
1764302176.680085,0,0.0
1764302176.789587,0,0.0
1764302176.891673,0,0.0
1764302177.001759,0,0.0
1764302177.1035688,0,0.0
1764302177.211214,0,0.0
1764302177.3183029,0,0.0
1764302177.4269671,0,0.0
1764302177.5358028,0,0.0
1764302177.644453,0,0.0
1764302177.754602,0,0.0
1764302177.863467,0,0.0
1764302177.9696782,0,0.0
1764302178.0715451,0,0.0
1764302178.17937,0,0.0
1764302178.2878022,0,0.0
1764302178.3904362,0,0.0
1764302178.497955,0,0.0
1764302178.606117,0,0.0
1764302178.716218,0,0.0
1764302178.823319,0,0.0
1764302178.9301271,0,0.0
1764302179.0322309,0,0.0
1764302179.138425,0,0.0
1764302179.2465842,0,0.0
1764302179.3552132,0,0.0
1764302179.461729,0,0.0
1764302179.568204,0,0.0
1764302179.678307,0,0.0
1764302179.779186,0,0.0
1764302179.8823822,0,0.0
1764302179.990565,0,0.0
1764302180.100579,0,0.0
1764302180.2088141,0,0.0
1764302180.3161511,0,0.0
1764302180.423245,0,0.0
1764302180.533331,0,0.0
1764302180.6408389,0,0.0
1764302180.743577,0,0.0
1764302180.850904,0,0.0
1764302180.955754,0,0.0
1764302181.064119,0,0.0
1764302181.171723,0,0.0
1764302181.27455,0,0.0
1764302181.376092,0,0.0
1764302181.481118,0,0.0
1764302181.594574,0,0.0
1764302181.701225,0,0.0
1764302181.8023381,0,0.0
1764302181.9078798,0,0.0
1764302182.01647,0,0.0
1764302182.1228642,0,0.0
1764302182.231544,0,0.0
1764302182.334971,0,0.0
1764302182.44509,0,0.0
1764302182.553098,0,0.0
1764302182.661783,0,0.0
1764302182.7703512,0,0.0
1764302182.8726661,0,0.0
1764302182.9815822,0,0.0
1764302183.091157,0,0.0
1764302183.200612,0,0.0
1764302183.3062441,0,0.0
1764302183.406333,0,0.0
1764302183.513998,0,0.0
1764302183.6148639,0,0.0
1764302183.716563,0,0.0
1764302183.820151,0,0.0
1764302183.9235919,0,0.0
1764302184.0310342,0,0.0
1764302184.1407518,0,0.0
1764302184.2507598,0,0.0
1764302184.3592389,0,0.0
1764302184.4661188,0,0.0
1764302184.5664918,0,0.0
1764302184.668475,0,0.0
1764302184.770474,0,0.0
1764302184.879624,0,0.0
1764302184.986767,0,0.0
1764302185.087612,0,0.0
1764302185.188304,0,0.0
1764302185.288496,0,0.0
1764302185.398556,0,0.0
1764302185.5045838,0,0.0
1764302185.613217,0,0.0
1764302185.720192,0,0.0
1764302185.829619,0,0.0
1764302185.935492,0,0.0
1764302186.0370991,0,0.0
1764302186.139053,0,0.0
1764302186.240947,0,0.0
1764302186.343574,0,0.0
1764302186.445886,0,0.0
1764302186.5529442,0,0.0
1764302186.659266,0,0.0
1764302186.767414,0,0.0
1764302186.8762822,0,0.0
1764302186.981825,0,0.0
1764302187.082874,0,0.0
1764302187.191489,0,0.0
1764302187.294064,0,0.0
1764302187.402263,0,0.0
1764302187.505575,0,0.0
1764302187.612907,0,0.0
1764302187.7202408,0,0.0
1764302187.82942,0,0.0
1764302187.932174,0,0.0
1764302188.0371652,0,0.0
1764302188.1401038,0,0.0
1764302188.241021,0,0.0
1764302188.341242,0,0.0
1764302188.444302,0,0.0
1764302188.55019,0,0.0
1764302188.658092,0,0.0
1764302188.767981,0,0.0
1764302188.8725572,0,0.0
1764302188.977609,0,0.0
1764302189.086581,0,0.0
1764302189.191434,0,0.0
1764302189.295987,0,0.0
1764302189.405975,0,0.0
1764302189.50667,0,0.0
1764302189.6099489,0,0.0
1764302189.719904,0,0.0
1764302189.821829,0,0.0
1764302189.9225368,0,0.0
1764302190.02288,0,0.0
1764302190.1289558,0,0.0
1764302190.23203,0,0.0
1764302190.3358772,0,0.0
1764302190.439559,0,0.0
1764302190.541027,0,0.0
1764302190.644792,0,0.0
1764302190.7526872,0,0.0
1764302190.861501,0,0.0
1764302190.9701371,0,0.0
1764302191.078048,0,0.0
1764302191.1833978,0,0.0
1764302191.2934542,0,0.0
1764302191.399791,0,0.0
1764302191.504912,0,0.0
1764302191.612185,0,0.0
1764302191.715362,0,0.0
1764302191.820569,0,0.0
1764302191.928322,0,0.0
1764302192.030792,0,0.0
1764302192.137196,0,0.0
1764302192.245172,0,0.0
1764302192.3486311,0,0.0
1764302192.457281,0,0.0
1764302192.560879,0,0.0
1764302192.670995,0,0.0
1764302192.78145,0,0.0
1764302192.883748,0,0.0
1764302192.9882948,0,0.0
1764302193.09736,0,0.0
1764302193.199879,0,0.0
1764302193.3059871,0,0.0
1764302193.407042,0,0.0
1764302193.514514,0,0.0
1764302193.617864,0,0.0
1764302193.719601,0,0.0
1764302193.820296,0,0.0
1764302193.9248781,0,0.0
1764302194.0327199,0,0.0
1764302194.139206,0,0.0
1764302194.244788,0,0.0
1764302194.346484,0,0.0
1764302194.452533,0,0.0
1764302194.554552,0,0.0
1764302194.65655,0,0.0
1764302194.761863,0,0.0
1764302194.863532,0,0.0
1764302194.9661849,0,0.0
1764302195.070831,0,0.0
1764302195.1726542,0,0.0
1764302195.275295,0,0.0
1764302195.3783748,0,0.0
1764302195.479773,0,0.0
1764302195.5801861,0,0.0
1764302195.6855428,0,0.0
1764302195.786596,0,0.0
1764302195.888405,0,0.0
1764302195.9891121,0,0.0
1764302196.0900722,0,0.0
1764302196.193922,0,0.0
1764302196.29464,0,0.0
1764302196.398891,0,0.0
1764302196.510022,0,0.0
1764302196.611393,0,0.0
1764302196.7142642,0,0.0
1764302196.820677,0,0.0
1764302196.921621,0,0.0
1764302197.022507,0,0.0
1764302197.126626,0,0.0
1764302197.232866,0,0.0
1764302197.338157,0,0.0
1764302197.444698,0,0.0
1764302197.550966,0,0.0
1764302197.651551,0,0.0
1764302197.755229,0,0.0
1764302197.8612428,0,0.0
1764302197.968229,0,0.0
1764302198.068427,0,0.0
1764302198.170451,0,0.0
1764302198.274605,0,0.0
1764302198.382554,0,0.0
1764302198.4902642,0,0.0
1764302198.593091,0,0.0
1764302198.7019992,0,0.0
1764302198.804536,0,0.0
1764302198.911036,0,0.0
1764302199.018225,0,0.0
1764302199.120024,0,0.0
1764302199.228526,0,0.0
1764302199.3298209,0,0.0
1764302199.430654,0,0.0
1764302199.531606,0,0.0
1764302199.636835,0,0.0
1764302199.74381,0,0.0
1764302199.851542,0,0.0
1764302199.959371,0,0.0
1764302200.067586,0,0.0
1764302200.172118,0,0.0
1764302200.272289,0,0.0
1764302200.377747,0,0.0
1764302200.481066,0,0.0
1764302200.590657,0,0.0
1764302200.6981719,0,0.0
1764302200.80579,0,0.0
1764302200.909408,0,0.0
1764302201.018332,0,0.0
1764302201.122698,0,0.0
1764302201.227422,0,0.0
1764302201.3280482,0,0.0
1764302201.428758,0,0.0
1764302201.530298,0,0.0
1764302201.6329432,0,0.0
1764302201.7362518,0,0.0
1764302201.83677,0,0.0
1764302201.942357,0,0.0
1764302202.048376,0,0.0
1764302202.153985,0,0.0
1764302202.2570539,0,0.0
1764302202.3612,0,0.0
1764302202.4666612,0,0.0
1764302202.577803,0,0.0
1764302202.678061,0,0.0
1764302202.77873,0,0.0
1764302202.8839512,0,0.0
1764302202.9845161,0,0.0
1764302203.0849862,0,0.0
1764302203.191967,0,0.0
1764302203.2991412,0,0.0
1764302203.405987,0,0.0
1764302203.5090182,0,0.0
1764302203.611538,0,0.0
1764302203.717362,0,0.0
1764302203.82142,0,0.0
1764302203.9286048,0,0.0
1764302204.033217,0,0.0
1764302204.139161,0,0.0
1764302204.245924,0,0.0
1764302204.347847,0,0.0
1764302204.4561589,0,0.0
1764302204.564907,0,0.0
1764302204.6732259,0,0.0
1764302204.7760088,0,0.0
1764302204.8812768,0,0.0
1764302204.9905071,0,0.0
1764302205.096235,0,0.0
1764302205.200432,0,0.0
1764302205.302132,0,0.0
1764302205.403241,0,0.0
1764302205.506169,0,0.0
1764302205.606941,0,0.0
1764302205.710229,0,0.0
1764302205.81129,0,0.0
1764302205.911823,0,0.0
1764302206.014986,0,0.0
1764302206.1209579,0,0.0
1764302206.228341,0,0.0
1764302206.330004,0,0.0
1764302206.4380019,0,0.0
1764302206.539198,0,0.0
1764302206.6426508,0,0.0
1764302206.7481039,0,0.0
1764302206.852944,0,0.0
1764302206.958654,0,0.0
1764302207.065289,0,0.0
1764302207.171765,0,0.0
1764302207.279725,0,0.0
1764302207.38694,0,0.0
1764302207.488458,0,0.0
1764302207.593397,0,0.0
1764302207.697925,0,0.0
1764302207.79873,0,0.0
1764302207.9011059,0,0.0
1764302208.009716,0,0.0
1764302208.1162271,0,0.0
1764302208.221737,0,0.0
1764302208.3308742,0,0.0
1764302208.431662,0,0.0
1764302208.534434,0,0.0
1764302208.63583,0,0.0
1764302208.736201,0,0.0
1764302208.84495,0,0.0
1764302208.9489012,0,0.0
1764302209.049432,0,0.0
1764302209.1558888,0,0.0
1764302209.265363,0,0.0
1764302209.3750248,0,0.0
1764302209.481314,0,0.0
1764302209.5898812,0,0.0
1764302209.6929631,0,0.0
1764302209.7966552,0,0.0
1764302209.900681,0,0.0
1764302210.0054631,0,0.0
1764302210.1099892,0,0.0
1764302210.21045,0,0.0
1764302210.3184562,0,0.0
1764302210.42373,0,0.0
1764302210.5324092,0,0.0
1764302210.642092,0,0.0
1764302210.74544,0,0.0
1764302210.854722,0,0.0
1764302210.957431,0,0.0
1764302211.063869,0,0.0
1764302211.164054,0,0.0
1764302211.266061,0,0.0
1764302211.372402,0,0.0
1764302211.474875,0,0.0
1764302211.57593,0,0.0
1764302211.677033,0,0.0
1764302211.779226,0,0.0
1764302211.879776,0,0.0
1764302211.981718,0,0.0
1764302212.084227,0,0.0
1764302212.193046,0,0.0
1764302212.296885,0,0.0
1764302212.40031,0,0.0
1764302212.502164,0,0.0
1764302212.605818,0,0.0
1764302212.7136772,0,0.0
1764302212.817556,0,0.0
1764302212.925264,0,0.0
1764302213.0345201,0,0.0
1764302213.1405928,0,0.0
1764302213.241997,0,0.0
1764302213.351678,0,0.0
1764302213.458814,0,0.0
1764302213.561381,0,0.0
1764302213.6705542,0,0.0
1764302213.771637,0,0.0
1764302213.877897,0,0.0
1764302213.98382,0,0.0
1764302214.0865338,0,0.0
1764302214.187049,0,0.0
1764302214.287683,0,0.0
1764302214.395555,0,0.0
1764302214.4975748,0,0.0
1764302214.600169,0,0.0
1764302214.709256,0,0.0
1764302214.8180091,0,0.0
1764302214.9203541,0,0.0
1764302215.026837,0,0.0
1764302215.1278772,0,0.0
1764302215.2288141,0,0.0
1764302215.329528,0,0.0
1764302215.434614,0,0.0
1764302215.5380108,0,0.0
1764302215.6452851,0,0.0
1764302215.751034,0,0.0
1764302215.858906,0,0.0
1764302215.968714,0,0.0
1764302216.071969,0,0.0
1764302216.1755352,0,0.0
1764302216.277698,0,0.0
1764302216.4416041,0,0.0
1764302216.587054,0,0.0
1764302216.688299,0,0.0
1764302216.792128,0,0.0
1764302216.894908,0,0.0
1764302216.999865,0,0.0
1764302217.100197,0,0.0
1764302217.208514,0,0.0
1764302217.3184042,0,0.0
1764302217.420511,0,0.0
1764302217.530118,0,0.0
1764302217.636828,0,0.0
1764302217.74641,0,0.0
1764302217.855811,0,0.0
1764302217.964642,0,0.0
1764302218.064755,0,0.0
1764302218.171217,0,0.0
1764302218.276117,0,0.0
1764302218.379244,0,0.0
1764302218.484826,0,0.0
1764302218.5914,0,0.0
1764302218.6995761,0,0.0
1764302218.80829,0,0.0
1764302218.9143481,0,0.0
1764302219.0201201,0,0.0
1764302219.124442,0,0.0
1764302219.2316601,0,0.0
1764302219.3336918,0,0.0
1764302219.434363,0,0.0
1764302219.5375931,0,0.0
1764302219.643563,0,0.0
1764302219.7510211,0,0.0
1764302219.8596091,0,0.0
1764302219.9603689,0,0.0
1764302220.068156,0,0.0
1764302220.1750422,0,0.0
1764302220.2755148,0,0.0
1764302220.383988,0,0.0
1764302220.4882061,0,0.0
1764302220.591578,0,0.0
1764302220.69953,0,0.0
1764302220.80394,0,0.0
1764302220.908567,0,0.0
1764302221.0093892,0,0.0
1764302221.1165981,0,0.0
1764302221.217193,0,0.0
1764302221.324338,0,0.0
1764302221.432446,0,0.0
1764302221.533403,0,0.0
1764302221.64354,0,0.0
1764302221.746621,0,0.0
1764302221.849566,0,0.0
1764302221.958526,0,0.0
1764302222.061431,0,0.0
1764302222.1620228,0,0.0
1764302222.264178,0,0.0
1764302222.370839,0,0.0
1764302222.471361,0,0.0
1764302222.574358,0,0.0
1764302222.6771998,0,0.0
1764302222.785681,0,0.0
1764302222.8902981,0,0.0
1764302222.9906108,0,0.0
1764302223.093379,0,0.0
1764302223.198251,0,0.0
1764302223.302971,0,0.0
1764302223.409627,0,0.0
1764302223.511007,0,0.0
1764302223.619363,0,0.0
1764302223.723666,0,0.0
1764302223.825828,0,0.0
1764302223.935178,0,0.0
1764302224.0370119,0,0.0
1764302224.143483,0,0.0
1764302224.253943,0,0.0
1764302224.358592,0,0.0
1764302224.4687948,0,0.0
1764302224.569848,0,0.0
1764302224.674021,0,0.0
1764302224.778978,0,0.0
1764302224.880224,0,0.0
1764302224.982253,0,0.0
1764302225.0885289,0,0.0
1764302225.192488,0,0.0
1764302225.296748,0,0.0
1764302225.404686,0,0.0
1764302225.508182,0,0.0
1764302225.6162088,0,0.0
1764302225.723998,0,0.0
1764302225.824652,0,0.0
1764302225.925023,0,0.0
1764302226.027436,0,0.0
1764302226.129727,0,0.0
1764302226.2331789,0,0.0
1764302226.338559,0,0.0
1764302226.4400918,0,0.0
1764302226.5426948,0,0.0
1764302226.646264,0,0.0
1764302226.7491279,0,0.0
1764302226.851556,0,0.0
1764302226.953279,0,0.0
1764302227.0534341,0,0.0
1764302227.1564732,0,0.0
1764302227.2653928,0,0.0
1764302227.37335,0,0.0
1764302227.4755998,0,0.0
1764302227.582338,0,0.0
1764302227.6875782,0,0.0
1764302227.788148,0,0.0
1764302227.898054,0,0.0
1764302228.000972,0,0.0
1764302228.105005,0,0.0
1764302228.208928,0,0.0
1764302228.316422,0,0.0
1764302228.417944,0,0.0
1764302228.523638,0,0.0
1764302228.6270761,0,0.0
1764302228.7323022,0,0.0
1764302228.834114,0,0.0
1764302228.934726,0,0.0
1764302229.036302,0,0.0
1764302229.139094,0,0.0
1764302229.24142,0,0.0
1764302229.343495,0,0.0
1764302229.4442308,0,0.0
1764302229.552469,0,0.0
1764302229.6587641,0,0.0
1764302229.765033,0,0.0
1764302229.871974,0,0.0
1764302229.9756858,0,0.0
1764302230.081731,0,0.0
1764302230.190752,0,0.0
1764302230.2967129,0,0.0
1764302230.405408,0,0.0
1764302230.511839,0,0.0
1764302230.616291,0,0.0
1764302230.716822,0,0.0
1764302230.824044,0,0.0
1764302230.9282439,0,0.0
1764302231.0306702,0,0.0
1764302231.1359518,0,0.0
1764302231.243801,0,0.0
1764302231.345314,0,0.0
1764302231.454208,0,0.0
1764302231.555889,0,0.0
1764302231.6579661,0,0.0
1764302231.758487,0,0.0
1764302231.866567,0,0.0
1764302231.96698,0,0.0
1764302232.0688279,0,0.0
1764302232.169913,0,0.0
1764302232.277455,0,0.0
1764302232.377983,0,0.0
1764302232.482228,0,0.0
1764302232.582379,0,0.0
1764302232.684459,0,0.0
1764302232.7879522,0,0.0
1764302232.890212,0,0.0
1764302232.998986,0,0.0
1764302233.100149,0,0.0
1764302233.200546,0,0.0
1764302233.300941,0,0.0
1764302233.410433,0,0.0
1764302233.510675,0,0.0
1764302233.616234,0,0.0
1764302233.7209349,0,0.0
1764302233.828128,0,0.0
1764302233.929486,0,0.0
1764302234.03458,0,0.0
1764302234.1411898,0,0.0
1764302234.247329,0,0.0
1764302234.353775,0,0.0
1764302234.4629319,0,0.0
1764302234.570598,0,0.0
1764302234.672215,0,0.0
1764302234.775923,0,0.0
1764302234.8853319,0,0.0
1764302234.994271,0,0.0
1764302235.1009989,0,0.0
1764302235.208391,0,0.0
1764302235.311095,0,0.0
1764302235.4156,0,0.0
1764302235.520436,0,0.0
1764302235.623512,0,0.0
1764302235.7302332,0,0.0
1764302235.8373,0,0.0
1764302235.940512,0,0.0
1764302236.04207,0,0.0
1764302236.149955,0,0.0
1764302236.258647,0,0.0
1764302236.359155,0,0.0
1764302236.4636369,0,0.0
1764302236.569838,0,0.0
1764302236.679085,0,0.0
1764302236.787145,0,0.0
1764302236.890272,0,0.0
1764302236.998113,0,0.0
1764302237.106411,0,0.0
1764302237.213569,0,0.0
1764302237.317184,0,0.0
1764302237.425333,0,0.0
1764302237.526227,0,0.0
1764302237.6303942,0,0.0
1764302237.7312279,0,0.0
1764302237.835383,0,0.0
1764302237.941406,0,0.0
1764302238.044092,0,0.0
1764302238.1466491,0,0.0
1764302238.2500439,0,0.0
1764302238.361405,0,0.0
1764302238.4643,0,0.0
1764302238.5726662,0,0.0
1764302238.673514,0,0.0
1764302238.773925,0,0.0
1764302238.874559,0,0.0
1764302238.982518,0,0.0
1764302239.089375,0,0.0
1764302239.1971378,0,0.0
1764302239.300096,0,0.0
1764302239.400994,0,0.0
1764302239.502126,0,0.0
