ts,J_total,W_total
1764302916.372978,0,0.0
1764302916.480296,0,0.0
1764302916.588919,0,0.0
1764302916.699014,0,0.0
1764302916.802478,0,0.0
1764302916.9086862,0,0.0
1764302917.01754,0,0.0
1764302917.118142,0,0.0
1764302917.222086,0,0.0
1764302917.328641,0,0.0
1764302917.436977,0,0.0
1764302917.5470898,0,0.0
1764302917.6557791,0,0.0
1764302917.762749,0,0.0
1764302917.863132,0,0.0
1764302917.969933,0,0.0
1764302918.071947,0,0.0
1764302918.177542,0,0.0
1764302918.2778182,0,0.0
1764302918.385355,0,0.0
1764302918.495234,0,0.0
1764302918.603466,0,0.0
1764302918.711782,0,0.0
1764302918.8207529,0,0.0
1764302918.929984,0,0.0
1764302919.036127,0,0.0
1764302919.141885,0,0.0
1764302919.245715,0,0.0
1764302919.355815,0,0.0
1764302919.462719,0,0.0
1764302919.563981,0,0.0
1764302919.666359,0,0.0
1764302919.776441,0,0.0
1764302919.885507,0,0.0
1764302919.986571,0,0.0
1764302920.0870001,0,0.0
1764302920.18991,0,0.0
1764302920.300009,0,0.0
1764302920.4072452,0,0.0
1764302920.5166678,0,0.0
1764302920.620474,0,0.0
1764302920.7283058,0,0.0
1764302920.833269,0,0.0
1764302920.934623,0,0.0
1764302921.038744,0,0.0
1764302921.147973,0,0.0
1764302921.251264,0,0.0
1764302921.3587468,0,0.0
1764302921.458928,0,0.0
1764302921.5590332,0,0.0
1764302921.666661,0,0.0
1764302921.776293,0,0.0
1764302921.884511,0,0.0
1764302921.9942772,0,0.0
1764302922.100641,0,0.0
1764302922.20109,0,0.0
1764302922.307654,0,0.0
1764302922.4165068,0,0.0
1764302922.519701,0,0.0
1764302922.624852,0,0.0
1764302922.734714,0,0.0
1764302922.850914,0,0.0
1764302922.961001,0,0.0
1764302923.063808,0,0.0
1764302923.1712399,0,0.0
1764302923.277629,0,0.0
1764302923.3863869,0,0.0
1764302923.48651,0,0.0
1764302923.595507,0,0.0
1764302923.702341,0,0.0
1764302923.8059678,0,0.0
1764302923.913755,0,0.0
1764302924.014773,0,0.0
1764302924.117172,0,0.0
1764302924.217387,0,0.0
1764302924.326599,0,0.0
1764302924.430669,0,0.0
1764302924.530896,0,0.0
1764302924.631086,0,0.0
1764302924.739289,0,0.0
1764302924.842237,0,0.0
1764302924.946314,0,0.0
1764302925.055402,0,0.0
1764302925.158877,0,0.0
1764302925.2633522,0,0.0
1764302925.371254,0,0.0
1764302925.476139,0,0.0
1764302925.583213,0,0.0
1764302925.689046,0,0.0
1764302925.793422,0,0.0
1764302925.8968608,0,0.0
1764302926.002012,0,0.0
1764302926.1053572,0,0.0
1764302926.207173,0,0.0
1764302926.315614,0,0.0
1764302926.418491,0,0.0
1764302926.523942,0,0.0
1764302926.625458,0,0.0
1764302926.727551,0,0.0
1764302926.8334851,0,0.0
1764302926.941665,0,0.0
1764302927.044957,0,0.0
1764302927.145438,0,0.0
1764302927.2456279,0,0.0
1764302927.350462,0,0.0
1764302927.458742,0,0.0
1764302927.568207,0,0.0
1764302927.6761,0,0.0
1764302927.7839098,0,0.0
1764302927.8873441,0,0.0
1764302927.994826,0,0.0
1764302928.100342,0,0.0
1764302928.203765,0,0.0
1764302928.311682,0,0.0
1764302928.420952,0,0.0
1764302928.530814,0,0.0
1764302928.633824,0,0.0
1764302928.735277,0,0.0
1764302928.844928,0,0.0
1764302928.946532,0,0.0
1764302929.047908,0,0.0
1764302929.155342,0,0.0
1764302929.259902,0,0.0
1764302929.368106,0,0.0
1764302929.4682722,0,0.0
1764302929.5703309,0,0.0
1764302929.6748421,0,0.0
1764302929.779841,0,0.0
1764302929.8822742,0,0.0
1764302929.98281,0,0.0
1764302930.085203,0,0.0
1764302930.1928792,0,0.0
1764302930.29565,0,0.0
1764302930.40023,0,0.0
1764302930.5013309,0,0.0
1764302930.608896,0,0.0
1764302930.717723,0,0.0
1764302930.821789,0,0.0
1764302930.9245949,0,0.0
1764302931.027246,0,0.0
1764302931.1354299,0,0.0
1764302931.2435288,0,0.0
1764302931.347478,0,0.0
1764302931.448809,0,0.0
1764302931.551421,0,0.0
1764302931.6569018,0,0.0
1764302931.760782,0,0.0
1764302931.870879,0,0.0
1764302931.973891,0,0.0
1764302932.0778902,0,0.0
1764302932.181082,0,0.0
1764302932.286552,0,0.0
1764302932.3870761,0,0.0
1764302932.490449,0,0.0
1764302932.5914822,0,0.0
1764302932.6940002,0,0.0
1764302932.802182,0,0.0
1764302932.904143,0,0.0
1764302933.008692,0,0.0
1764302933.110949,0,0.0
1764302933.2121248,0,0.0
1764302933.314825,0,0.0
1764302933.415025,0,0.0
1764302933.522283,0,0.0
1764302933.624799,0,0.0
1764302933.734396,0,0.0
1764302933.83526,0,0.0
1764302933.9383218,0,0.0
1764302934.038503,0,0.0
1764302934.1460018,0,0.0
1764302934.252274,0,0.0
1764302934.35463,0,0.0
1764302934.460308,0,0.0
1764302934.5679848,0,0.0
1764302934.6699562,0,0.0
1764302934.775326,0,0.0
1764302934.885382,0,0.0
1764302934.989985,0,0.0
1764302935.091923,0,0.0
1764302935.197887,0,0.0
1764302935.30672,0,0.0
1764302935.4076202,0,0.0
1764302935.514051,0,0.0
1764302935.6201868,0,0.0
1764302935.725318,0,0.0
1764302935.827699,0,0.0
1764302935.929303,0,0.0
1764302936.029622,0,0.0
1764302936.131697,0,0.0
1764302936.238036,0,0.0
1764302936.343612,0,0.0
1764302936.453526,0,0.0
1764302936.5545962,0,0.0
1764302936.659344,0,0.0
1764302936.763561,0,0.0
1764302936.871716,0,0.0
1764302936.9731688,0,0.0
1764302937.074497,0,0.0
1764302937.1774569,0,0.0
1764302937.2856598,0,0.0
1764302937.390848,0,0.0
1764302937.495627,0,0.0
1764302937.596639,0,0.0
1764302937.701097,0,0.0
1764302937.8083122,0,0.0
1764302937.9129322,0,0.0
1764302938.021398,0,0.0
1764302938.122456,0,0.0
1764302938.230552,0,0.0
1764302938.3378508,0,0.0
1764302938.443517,0,0.0
1764302938.547885,0,0.0
1764302938.653561,0,0.0
1764302938.759764,0,0.0
1764302938.865796,0,0.0
1764302938.967534,0,0.0
1764302939.073178,0,0.0
1764302939.18023,0,0.0
1764302939.283272,0,0.0
1764302939.3927748,0,0.0
1764302939.495625,0,0.0
1764302939.599076,0,0.0
1764302939.700075,0,0.0
1764302939.81015,0,0.0
1764302939.9165719,0,0.0
1764302940.023499,0,0.0
1764302940.133653,0,0.0
1764302940.2388191,0,0.0
1764302940.342263,0,0.0
1764302940.443688,0,0.0
1764302940.551192,0,0.0
1764302940.6593761,0,0.0
1764302940.764808,0,0.0
1764302940.865165,0,0.0
1764302940.9731698,0,0.0
1764302941.075426,0,0.0
1764302941.1782742,0,0.0
1764302941.278972,0,0.0
1764302941.384228,0,0.0
1764302941.485843,0,0.0
1764302941.588863,0,0.0
1764302941.692971,0,0.0
1764302941.8014688,0,0.0
1764302941.9095302,0,0.0
1764302942.0105689,0,0.0
1764302942.111042,0,0.0
1764302942.2122722,0,0.0
1764302942.313055,0,0.0
1764302942.419533,0,0.0
1764302942.52654,0,0.0
1764302942.6344378,0,0.0
1764302942.735743,0,0.0
1764302942.8404648,0,0.0
1764302942.949835,0,0.0
1764302943.051431,0,0.0
1764302943.157293,0,0.0
1764302943.257733,0,0.0
1764302943.360663,0,0.0
1764302943.4634318,0,0.0
1764302943.570938,0,0.0
1764302943.6718621,0,0.0
1764302943.778195,0,0.0
1764302943.878508,0,0.0
1764302943.985705,0,0.0
1764302944.087765,0,0.0
1764302944.190666,0,0.0
1764302944.299744,0,0.0
1764302944.408851,0,0.0
1764302944.513354,0,0.0
1764302944.614089,0,0.0
1764302944.7143412,0,0.0
1764302944.816607,0,0.0
1764302944.924337,0,0.0
1764302945.030487,0,0.0
1764302945.1398451,0,0.0
1764302945.244305,0,0.0
1764302945.3539178,0,0.0
1764302945.460157,0,0.0
1764302945.561093,0,0.0
1764302945.661959,0,0.0
1764302945.778326,0,0.0
1764302945.8829231,0,0.0
1764302945.989552,0,0.0
1764302946.092402,0,0.0
1764302946.19475,0,0.0
1764302946.2979178,0,0.0
1764302946.4046311,0,0.0
1764302946.51234,0,0.0
1764302946.624375,0,0.0
1764302946.7336068,0,0.0
1764302946.841095,0,0.0
1764302946.9497879,0,0.0
1764302947.050648,0,0.0
1764302947.1517599,0,0.0
1764302947.2579799,0,0.0
1764302947.3614342,0,0.0
1764302947.4647849,0,0.0
1764302947.566515,0,0.0
1764302947.675273,0,0.0
1764302947.779517,0,0.0
1764302947.889337,0,0.0
1764302947.998688,0,0.0
1764302948.105312,0,0.0
1764302948.2159219,0,0.0
1764302948.317141,0,0.0
1764302948.4247072,0,0.0
1764302948.532157,0,0.0
1764302948.636773,0,0.0
1764302948.7382889,0,0.0
1764302948.8476028,0,0.0
1764302948.9520462,0,0.0
1764302949.058094,0,0.0
1764302949.160862,0,0.0
1764302949.266746,0,0.0
1764302949.370008,0,0.0
1764302949.474514,0,0.0
1764302949.575912,0,0.0
1764302949.679816,0,0.0
1764302949.789369,0,0.0
1764302949.8989341,0,0.0
1764302950.005534,0,0.0
1764302950.113326,0,0.0
1764302950.2217422,0,0.0
1764302950.3318322,0,0.0
1764302950.435151,0,0.0
1764302950.544058,0,0.0
1764302950.649438,0,0.0
1764302950.752046,0,0.0
1764302950.858988,0,0.0
1764302950.968409,0,0.0
1764302951.074893,0,0.0
1764302951.1776261,0,0.0
1764302951.284435,0,0.0
1764302951.389351,0,0.0
1764302951.4906921,0,0.0
1764302951.591651,0,0.0
1764302951.692203,0,0.0
1764302951.7935722,0,0.0
1764302951.903591,0,0.0
1764302952.004343,0,0.0
1764302952.110398,0,0.0
1764302952.2154062,0,0.0
1764302952.323224,0,0.0
1764302952.4296,0,0.0
1764302952.530659,0,0.0
1764302952.640012,0,0.0
1764302952.747892,0,0.0
1764302952.856169,0,0.0
1764302952.9619641,0,0.0
1764302953.0693219,0,0.0
1764302953.1788008,0,0.0
1764302953.280722,0,0.0
1764302953.385789,0,0.0
1764302953.4865742,0,0.0
1764302953.5908558,0,0.0
1764302953.6915681,0,0.0
1764302953.797921,0,0.0
1764302953.903235,0,0.0
1764302954.0045528,0,0.0
1764302954.114112,0,0.0
1764302954.21573,0,0.0
1764302954.3172941,0,0.0
1764302954.423614,0,0.0
1764302954.531154,0,0.0
1764302954.6388412,0,0.0
1764302954.746203,0,0.0
1764302954.8474822,0,0.0
1764302954.9499469,0,0.0
1764302955.056397,0,0.0
1764302955.164404,0,0.0
1764302955.266711,0,0.0
1764302955.3743129,0,0.0
1764302955.475314,0,0.0
1764302955.575619,0,0.0
1764302955.6812081,0,0.0
1764302955.785023,0,0.0
1764302955.892742,0,0.0
1764302955.9985962,0,0.0
1764302956.105021,0,0.0
1764302956.2095082,0,0.0
1764302956.3167171,0,0.0
1764302956.421304,0,0.0
1764302956.5221472,0,0.0
1764302956.6237109,0,0.0
1764302956.73005,0,0.0
1764302956.8354619,0,0.0
1764302956.937671,0,0.0
1764302957.046827,0,0.0
1764302957.1496189,0,0.0
1764302957.25471,0,0.0
1764302957.3620732,0,0.0
1764302957.468423,0,0.0
1764302957.570691,0,0.0
1764302957.6721191,0,0.0
1764302957.799298,0,0.0
1764302957.9545238,0,0.0
1764302958.059659,0,0.0
1764302958.1608372,0,0.0
1764302958.263734,0,0.0
1764302958.36456,0,0.0
1764302958.4740129,0,0.0
1764302958.580501,0,0.0
1764302958.686683,0,0.0
1764302958.7870872,0,0.0
1764302958.897272,0,0.0
1764302959.0023239,0,0.0
1764302959.102911,0,0.0
1764302959.2115688,0,0.0
1764302959.318037,0,0.0
1764302959.419787,0,0.0
1764302959.5233989,0,0.0
1764302959.63241,0,0.0
1764302959.7427,0,0.0
1764302959.849599,0,0.0
1764302959.957359,0,0.0
1764302960.0641122,0,0.0
1764302960.1684868,0,0.0
1764302960.277549,0,0.0
1764302960.383035,0,0.0
1764302960.486725,0,0.0
1764302960.589317,0,0.0
1764302960.690312,0,0.0
1764302960.798084,0,0.0
1764302960.9064178,0,0.0
1764302961.0084338,0,0.0
1764302961.109728,0,0.0
1764302961.219253,0,0.0
1764302961.324394,0,0.0
1764302961.432926,0,0.0
1764302961.542773,0,0.0
1764302961.650707,0,0.0
1764302961.7531662,0,0.0
1764302961.855401,0,0.0
1764302961.961962,0,0.0
1764302962.063065,0,0.0
1764302962.163934,0,0.0
1764302962.272479,0,0.0
1764302962.3784451,0,0.0
1764302962.4841669,0,0.0
1764302962.585732,0,0.0
1764302962.691713,0,0.0
1764302962.794711,0,0.0
1764302962.8968341,0,0.0
1764302963.003813,0,0.0
1764302963.1121888,0,0.0
1764302963.220334,0,0.0
1764302963.320765,0,0.0
1764302963.426358,0,0.0
1764302963.5286531,0,0.0
1764302963.631061,0,0.0
1764302963.739464,0,0.0
1764302963.8434188,0,0.0
1764302963.952254,0,0.0
1764302964.058048,0,0.0
1764302964.166882,0,0.0
1764302964.272214,0,0.0
1764302964.3785331,0,0.0
1764302964.4809432,0,0.0
1764302964.589834,0,0.0
1764302964.694597,0,0.0
1764302964.796098,0,0.0
1764302964.9011142,0,0.0
1764302965.0105548,0,0.0
1764302965.114309,0,0.0
1764302965.220295,0,0.0
1764302965.325881,0,0.0
1764302965.432393,0,0.0
1764302965.533827,0,0.0
1764302965.640434,0,0.0
1764302965.74706,0,0.0
1764302965.851954,0,0.0
1764302965.959596,0,0.0
1764302966.06224,0,0.0
1764302966.167891,0,0.0
1764302966.2760582,0,0.0
1764302966.377551,0,0.0
1764302966.4798641,0,0.0
1764302966.590038,0,0.0
1764302966.693961,0,0.0
1764302966.794963,0,0.0
1764302966.895638,0,0.0
1764302967.0057359,0,0.0
1764302967.111813,0,0.0
1764302967.212411,0,0.0
1764302967.3176498,0,0.0
1764302967.419123,0,0.0
1764302967.5246139,0,0.0
1764302967.629788,0,0.0
1764302967.732627,0,0.0
1764302967.8384929,0,0.0
1764302967.939043,0,0.0
1764302968.0457091,0,0.0
1764302968.15198,0,0.0
1764302968.2576692,0,0.0
1764302968.3588202,0,0.0
1764302968.460588,0,0.0
1764302968.565145,0,0.0
1764302968.667737,0,0.0
1764302968.77356,0,0.0
1764302968.878795,0,0.0
1764302968.982014,0,0.0
1764302969.082201,0,0.0
1764302969.190511,0,0.0
1764302969.291216,0,0.0
1764302969.396922,0,0.0
1764302969.504592,0,0.0
1764302969.608958,0,0.0
1764302969.716919,0,0.0
1764302969.818631,0,0.0
1764302969.92192,0,0.0
1764302970.032026,0,0.0
1764302970.139356,0,0.0
1764302970.2432902,0,0.0
1764302970.34723,0,0.0
1764302970.456449,0,0.0
1764302970.5656571,0,0.0
1764302970.670961,0,0.0
1764302970.774265,0,0.0
1764302970.87826,0,0.0
1764302970.987587,0,0.0
1764302971.095768,0,0.0
1764302971.204802,0,0.0
1764302971.3119638,0,0.0
1764302971.41445,0,0.0
1764302971.522539,0,0.0
1764302971.626323,0,0.0
1764302971.747089,0,0.0
1764302971.849716,0,0.0
1764302971.957192,0,0.0
1764302972.063993,0,0.0
1764302972.170561,0,0.0
1764302972.28017,0,0.0
1764302972.388726,0,0.0
1764302972.4897778,0,0.0
1764302972.595745,0,0.0
1764302972.69876,0,0.0
1764302972.8066518,0,0.0
1764302972.90916,0,0.0
1764302973.013574,0,0.0
1764302973.115795,0,0.0
1764302973.2170749,0,0.0
1764302973.323335,0,0.0
1764302973.428538,0,0.0
1764302973.536844,0,0.0
1764302973.646173,0,0.0
1764302973.754994,0,0.0
1764302973.861579,0,0.0
1764302973.968313,0,0.0
1764302974.0722811,0,0.0
1764302974.173846,0,0.0
1764302974.27646,0,0.0
1764302974.381971,0,0.0
1764302974.489599,0,0.0
1764302974.593461,0,0.0
1764302974.69761,0,0.0
1764302974.806968,0,0.0
1764302974.907255,0,0.0
1764302975.013452,0,0.0
1764302975.1214888,0,0.0
1764302975.222626,0,0.0
1764302975.3308349,0,0.0
1764302975.4317381,0,0.0
1764302975.536267,0,0.0
1764302975.645612,0,0.0
1764302975.75146,0,0.0
1764302975.857606,0,0.0
1764302975.9623868,0,0.0
1764302976.073038,0,0.0
1764302976.174811,0,0.0
1764302976.2758431,0,0.0
1764302976.38172,0,0.0
1764302976.4913049,0,0.0
1764302976.5994911,0,0.0
1764302976.7051258,0,0.0
1764302976.806988,0,0.0
1764302976.91447,0,0.0
1764302977.022316,0,0.0
1764302977.124473,0,0.0
1764302977.226049,0,0.0
1764302977.332524,0,0.0
1764302977.4407942,0,0.0
1764302977.546468,0,0.0
1764302977.655604,0,0.0
1764302977.765795,0,0.0
1764302977.869659,0,0.0
1764302977.972058,0,0.0
1764302978.075184,0,0.0
1764302978.181368,0,0.0
1764302978.289706,0,0.0
1764302978.399308,0,0.0
1764302978.5060322,0,0.0
1764302978.6072268,0,0.0
1764302978.7231512,0,0.0
1764302978.827969,0,0.0
1764302978.931305,0,0.0
1764302979.031651,0,0.0
1764302979.133306,0,0.0
1764302979.233739,0,0.0
1764302979.341876,0,0.0
1764302979.4434571,0,0.0
1764302979.5446951,0,0.0
1764302979.646208,0,0.0
1764302979.748159,0,0.0
1764302979.85375,0,0.0
1764302979.96172,0,0.0
1764302980.0712252,0,0.0
1764302980.177527,0,0.0
1764302980.279933,0,0.0
1764302980.382554,0,0.0
1764302980.488578,0,0.0
1764302980.594799,0,0.0
1764302980.6982348,0,0.0
1764302980.8046641,0,0.0
1764302980.913086,0,0.0
1764302981.0142488,0,0.0
1764302981.115469,0,0.0
1764302981.217032,0,0.0
1764302981.323288,0,0.0
1764302981.428421,0,0.0
1764302981.537452,0,0.0
1764302981.6384661,0,0.0
1764302981.739954,0,0.0
1764302981.84271,0,0.0
1764302981.9471822,0,0.0
1764302982.054791,0,0.0
1764302982.1628249,0,0.0
1764302982.267576,0,0.0
1764302982.37204,0,0.0
1764302982.474017,0,0.0
1764302982.58197,0,0.0
1764302982.691118,0,0.0
1764302982.796875,0,0.0
